name,type,start_time,duration,"data","error"
"U13C_USART0_TX","data",17.91247975,0.00008225,0x05,
"U13C_USART0_RX","data",18.07057075,0.00008225,0xD5,
"U13C_USART0_RX","data",18.0706575,0.00008225,0xE5,
"U13C_USART0_RX","data",18.07074425,0.00008225,0x00,
"U13C_USART0_RX","data",18.070831,0.00008225,0x00,
"U13C_USART0_RX","data",18.07091775,0.00008225,0x02,
"U13C_USART0_RX","data",18.07100425,0.00008225,0x00,
"U13C_USART0_RX","data",18.071091,0.00008225,0x4F,
"U13C_USART0_RX","data",18.07117775,0.00008225,0x09,
"U13C_USART0_RX","data",18.0712645,0.00008225,0x00,
"U13C_USART0_RX","data",18.07135125,0.00008225,0xC4,
"U13C_USART0_RX","data",18.07143775,0.00008225,0x00,
"U13C_USART0_TX","data",18.0715655,0.00008225,0xD5,
"U13C_USART0_TX","data",18.07165325,0.00008225,0xE5,
"U13C_USART0_TX","data",18.07175225,0.00008225,0x00,
"U13C_USART0_TX","data",18.07184,0.00008225,0x00,
"U13C_USART0_TX","data",18.07194025,0.00008225,0x06,
"U13C_USART0_TX","data",18.072028,0.00008225,0x00,
"U13C_USART0_TX","data",18.0721275,0.00008225,0x1B,
"U13C_USART0_TX","data",18.07221525,0.00008225,0x00,
"U13C_USART0_TX","data",18.072315,0.00008225,0x10,
"U13C_USART0_TX","data",18.07240275,0.00008225,0x00,
"U13C_USART0_TX","data",18.0725025,0.00008225,0x05,
"U13C_USART0_RX","data",18.23063275,0.00008225,0xD5,
"U13C_USART0_RX","data",18.2307195,0.00008225,0xE5,
"U13C_USART0_RX","data",18.23080625,0.00008225,0x00,
"U13C_USART0_RX","data",18.23089275,0.00008225,0x00,
"U13C_USART0_RX","data",18.2309795,0.00008225,0x02,
"U13C_USART0_RX","data",18.23106625,0.00008225,0x00,
"U13C_USART0_RX","data",18.231153,0.00008225,0x4F,
"U13C_USART0_RX","data",18.23123975,0.00008225,0x09,
"U13C_USART0_RX","data",18.23132625,0.00008225,0x00,
"U13C_USART0_RX","data",18.231413,0.00008225,0xC4,
"U13C_USART0_RX","data",18.23149975,0.00008225,0x00,
"U13C_USART0_TX","data",18.23162725,0.00008225,0xD5,
"U13C_USART0_TX","data",18.231715,0.00008225,0xE5,
"U13C_USART0_TX","data",18.2318075,0.00008225,0x00,
"U13C_USART0_TX","data",18.2318955,0.00008225,0x00,
